model_layer,evidence_rows,mean_rmse,mean_mae,mean_directional_accuracy,mean_auc,mean_r2,mean_directional_accuracy_pct
Tree-based,96,0.0342470725813571,0.0256393134951346,0.652237168842342,0.5899666724070626,0.0436886554728273,65.2237168842342
Crisis-aware model router,32,0.0316185290333099,0.0241353547884491,0.644941821301686,0.5911486182681001,0.0840767130628562,64.4941821301686
Ensemble,96,0.0337101894229752,0.0255163516520493,0.6392953772734261,0.5959297672546243,0.0542794943990436,63.92953772734261
Crisis-aware dynamic weighting,96,0.0338354969178747,0.0256295909827223,0.6378792682569473,0.5915678116957203,0.0529136908408488,63.78792682569473
Stacking meta-learner,32,0.042810776472124,0.0303767569402621,0.6274930859230304,0.6134219265530136,-0.5439086531896634,62.749308592303045
Baseline,608,0.0360310971805421,0.0272313547248339,0.5932917830194351,0.5766989707909005,-0.0625881566961015,59.32917830194351
Boosted gradient,96,0.0361299166530987,0.0274614953086786,0.5889436244959093,0.5732349533139235,-0.0443662173144362,58.89436244959093
